ID,Grade,Model,Mat,Texture,Label,RotX,RotY,RotZ,RotW,Meta,Start,Loop
0,B,Weapon_B_Common_02out.model,Weapon_B_Common_02out.mat,Weapon_B_Common_02.png,「루나」-그믐달,-0.29,0.93,0.05,0.23,,,
1,B,Weapon_B_Common_04out.model,Weapon_B_Common_04out.mat,Weapon_B_Common_04 (1).png,「잔향」-Ⅰ형,0.01,-0.7,0.63,-0.33,,,
2,B,Weapon_B_Common_08out.model,Weapon_B_Common_08out.mat,Weapon_B_Common_08 (1).png,「급류」-화살,0.18,0.83,-0.5,0.17,,,
3,B,Weapon_B_Common_11out.model,Weapon_B_Common_11out.mat,Weapon_B_Common_11 (1).png,「자기 폭풍」- 브라보,-0.29,0.92,0.09,0.24,,,
4,B,Weapon_B_Common_15out.model,Weapon_B_Common_15out.mat,Weapon_B_Common_15.png,「잿더미」-코발트블루,-0.63,0.75,-0.07,0.2,,,
5,A,Weapon_A_Common_03out.model,Weapon_A_Common_03out.mat,Weapon_A_Common_03 (1).png,우림의 식객,-0.08,0.85,-0.27,0.45,,,
6,A,Weapon_A_Common_10_Modelout.model,Weapon_A_Common_10_Modelout.mat,Weapon_A_Common_10 (1).png,버니 밴드,-0.01,0.91,-0.31,0.27,,,
7,A,Weapon_A_Common_14_Modelout.model,Weapon_A_Common_14_Modelout.mat,Weapon_A_Common_14.png,일렉트로 워크,-0.33,-0.36,-0.01,0.88,,,
8,A,Weapon_A_Common_16_Modelout.model,Weapon_A_Common_16_Modelout.mat,Weapon_A_Common_16 (2).png,조명을 새기는 칼,-0.11,0.95,-0.08,-0.27,,,
9,A,Weapon_A_1271_Modelout.model,Weapon_A_1271_Modelout.mat,Weapon_A_1271 (1).png,평화 수호자-특화형,-0.02,0.97,-0.16,0.19,,,
10,A,Weapon_A_1281_Modelout.model,Weapon_A_1281_Modelout.mat,Weapon_A_1281 (1).png,뛰뛰빵빵,-0.11,0.92,-0.09,0.37,,,
11,A,Weapon_A_1421_Modelout.model,Weapon_A_1421_Modelout.mat,Weapon_A_1421 (1).png,진괘를 담은 함,-0.21,0.75,-0.38,0.49,,,
12,A,Weapon_A_1441_Modelout.model,Weapon_A_1441_Modelout.mat,Weapon_A_1441 (1).png,어스름한 밤의 화염,0.07,0.97,-0.25,-0.02,,,
13,S,Miyabi.model,Miyabi.mat,IconRole13.png,미야비,,,,,Miyabi_Meta.json,Avatar_Female_Size02_Unagi_Ani_Gacha_Start,Avatar_Female_Size02_Unagi_Ani_Gacha_Loop
14,S,JaneDoeModel.model,JaneDoe.mat,IconRole24.png,제인도,,,,,,,
