ID,Grade,Model,Mat,Texture
0,B,Weapon_B_Common_02out.model,Weapon_B_Common_02out.mat,Weapon_B_Common_02.png
1,B,Weapon_B_Common_04out.model,Weapon_B_Common_04out.mat,Weapon_B_Common_04 (1).png
2,B,Weapon_B_Common_08out.model,Weapon_B_Common_08out.mat,Weapon_B_Common_08 (1).png
3,B,Weapon_B_Common_11out.model,Weapon_B_Common_11out.mat,Weapon_B_Common_11 (1).png
4,B,Weapon_B_Common_15out.model,Weapon_B_Common_15out.mat,Weapon_B_Common_15.png
5,A,Weapon_A_Common_03out.model,Weapon_A_Common_03out.mat,Weapon_A_Common_03 (1).png
6,A,Weapon_A_Common_10_Modelout.model,Weapon_A_Common_10_Modelout.mat,Weapon_A_Common_10 (1).png
7,A,Weapon_A_Common_14_Modelout.model,Weapon_A_Common_14_Modelout.mat,Weapon_A_Common_14.png
8,A,Weapon_A_Common_16_Modelout.model,Weapon_A_Common_16_Modelout.mat,Weapon_A_Common_16 (2).png
9,A,Weapon_A_1271_Modelout.model,Weapon_A_1271_Modelout.mat,Weapon_A_1271 (1).png
10,A,Weapon_A_1281_Modelout.model,Weapon_A_1281_Modelout.mat,Weapon_A_1281 (1).png
11,A,Weapon_A_1421_Modelout.model,Weapon_A_1421_Modelout.mat,Weapon_A_1421 (1).png
12,A,Weapon_A_1441_Modelout.model,Weapon_A_1441_Modelout.mat,Weapon_A_1441 (1).png
