tagArea,StageType,Encounter,Colony,MonsterID,Count
Zero_1_1,Normal,0,1,100,2
Zero_1_1,Normal,0,1,101,1
Zero_1_1,Normal,1,1,100,2
Zero_1_1,Normal,1,1,101,2
,,,,,
Zero_1_2,Normal,0,3,100,2
Zero_1_2,Normal,0,3,101,1
Zero_1_2,Normal,1,3,100,2
Zero_1_2,Normal,1,3,101,2
,,,,,
Zero_3_1,Normal,0,1,100,2
Zero_3_1,Normal,0,1,101,2
Zero_3_1,Normal,1,1,100,2
Zero_3_1,Normal,1,1,101,2
Zero_5_1,Normal,0,2,100,2
Zero_5_1,Normal,0,2,101,2
Zero_Boss1,Boss,0,0,300,1
Zero_Boss2,Boss,0,0,400,1
,,,,,
Zero_Spec3_1,Normal,0,3,100,3
Zero_Spec3_1,Normal,1,3,100,2
Zero_Spec3_1,Normal,1,3,101,1
Zero_Spec3_1,Normal,2,3,100,2
Zero_Spec3_1,Normal,2,3,101,1
,,,,,
Zero_Spec3_2,Normal,0,2,100,2
Zero_Spec3_2,Normal,0,2,101,2
Zero_Spec3_2,Normal,1,2,100,1
Zero_Spec3_2,Normal,1,2,101,3
,,,,,
Zero_Com26_1,Elite,0,1,200,1
Zero_Com26_1,Elite,0,1,101,4
,,,,,
Zero_8_1,Normal,0,2,100,3
Zero_8_1,Normal,0,2,101,1
,,,,,
Zero_8_2,Elite,0,2,200,1
Zero_8_2,Elite,0,2,100,2
,,,,,
Zero_3_2,Normal,0,3,101,2
Zero_3_2,Normal,0,3,100,4
