ProtoTag,DisplayName,CCT_fHeight,CCT_fRadius,MaxHP,MonsterID
Proto_GameObject_ThugBulkyEnforcer,ThugBulky,1.28,0.55,400,1200
Proto_GameObject_Sacrifice,Sacrifice,1.6,0.8,500,300
Proto_GameObject_ThugAssaulter,ThugAssaulter,1.28,0.55,100,1100
Proto_GameObject_ThugPoacher,ThugPoacher,1.28,0.55,70,1101
Proto_GameObject_Claymore,ClayMore,1.28,0.55,100,2100
Proto_GameObject_Cyclops,Cyclops,1.28,0.55,70,2101
Proto_GameObject_Defiler,Defiler,1.28,0.55,500,400
Proto_GameObject_StrikeJaeger,StrikeJaeger,1.28,0.55,80,3100
Proto_GameObject_MeleeJaeger,MeleeJaeger,1.28,0.55,100,3101
Proto_GameObject_Giant,Giant,1.28,1.2,400,2200
