Level,Version,Text
Scott_Level,1,전투병한테 가서 말을 걸면\n튜토리얼을 진행할 수 있대.
Scott_Level,1,웅나웅나 하는거 너무 귀엽다
Scott_Level,1,너 동물 좋아해?
Scott_Level,1,장난전화 하면 안돼
Scott_Level,1,아침에 마시는 커피가 짱이야
MainCity_Level,1,거리 분위기가 정말 좋네.
MainCity_Level,1,쵸퍼 아저씨가 만든 야채라면 먹어봤어?
MainCity_Level,1,아우한테 가면 복권을 긁을 수 있대
MainCity_Level,1,또 먹고싶다
MainCity_Level,1,나와 함께 거리를 구경하자
MainCity_Level,1,저 아저씨 패션봐 완전 구려
MainCity_Level,1,F4를 누르면 에이전트를 영입할 수 있대
MainCity_Level,1,차타고 드라이브 가야겠다
Scott_Level,2,튜토리얼은 어땠어?
Scott_Level,2,처음치고는 꽤 잘하는걸
Scott_Level,2,초병이랑 대화를 하면\n6단지로 이동할 수 있어.
Scott_Level,2,6단지에는 먹을 것도\n 체험할 것도 많아.
Scott_Level,2,오늘 퇴근하고 뭐할거야?
MainCity_Level,2,나 얼마전에 미야비 영입했어
MainCity_Level,2,요즘 패션 트렌드가 너무 빨리 바뀌어서\n따라가기 힘들어
MainCity_Level,2,빨리 집가서 눕고싶다.
MainCity_Level,2,저 식당봐 줄이 장난아니네
MainCity_Level,2,요즘 에이전트들이 많아졌나?\n낯선 얼굴이 늘었어
MainCity_Level,2,하루에 복권 두개 긁고싶어
MainCity_Level,2,오늘은 뭔가 좋은 일이 생길 것 같아.
MainCity_Level,2,141 마트 앞에 있는 방부들 만져보고 싶어
MainCity_Level,2,차를 타면 다시 Scott로 갈 수 있대
